Name,player_id,bat_side
 CJ Abrams,682928,L
 Jose Abreu,547989,R
 Ronald Acuna Jr.,660670,R
 Willy Adames,642715,R
 Riley Adams,656180,R
 Nick Ahmed,605113,R
 Hanser Alberto,593643,R
 Ozzie Albies,645277,L
 Jorge Alfaro,595751,R
 Nick Allen,669397,R
 Pete Alonso,624413,R
 Jose Altuve,514888,R
 Jake Alu,666906,L
 Francisco Alvarez,682626,R
 Yordan Alvarez,670541,L
 Miguel Amaya,665804,R
 Brian Anderson,605119,R
 Tim Anderson,641313,R
 Elvis Andrus,462101,R
 Miguel Andujar,609280,R
 Orlando Arcia,606115,R
 Nolan Arenado,571448,R
 Gabriel Arias,672356,R
 Randy Arozarena,668227,R
 Luis Arraez,650333,L
 Christian Arroyo,624414,R
 Jose Azocar,640492,R
 Akil Baddoo,668731,L
 Harrison Bader,664056,R
 Ji Hwan Bae,678225,L
 Patrick Bailey,672275,L
 Austin Barnes,605131,R
 Tucker Barnhart,571466,L
 Jose Barrero,676480,R
 Joey Bart,663698,R
 Brett Baty,683146,L
 Jake Bauers,641343,L
 Matt Beaty,607461,L
 Josh Bell,605137,L
 Cody Bellinger,641355,L
 Brandon Belt,474832,L
 Andrew Benintendi,643217,L
 Will Benson,666181,L
 Jon Berti,542932,R
 Christian Bethancourt,542194,R
 Mookie Betts,605141,R
 Bo Bichette,666182,R
 Cavan Biggio,624415,L
 Charlie Blackmon,453568,L
 Dairon Blanco,680118,R
 JJ Bleday,668709,L
 Xander Bogaerts,593428,R
 Alec Bohm,664761,R
 Jackie Bradley Jr.,598265,L
 Alex Bregman,608324,R
 Will Brennan,686823,L
 Jonah Bride,681146,R
 Mike Brosseau,670712,R
 Seth Brown,664913,L
 Kris Bryant,592178,R
 Jake Burger,669394,R
 Alec Burleson,676475,L
 Michael Busch,683737,L
 Byron Buxton,621439,R
 Javier Baez,595879,R
 Jose Caballero,676609,R
 Miguel Cabrera,408234,R
 Oswaldo Cabrera,665828,L
 Willie Calhoun,641432,L
 Alex Call,669743,R
 Luis Campusano,669134,R
 Jeimer Candelario,600869,L
 Mark Canha,592192,R
 Dominic Canzone,686527,L
 Victor Caratini,605170,L
 Dylan Carlson,666185,L
 Kerry Carpenter,681481,L
 Matt Carpenter,572761,L
 Corbin Carroll,682998,L
 Triston Casas,671213,L
 Nick Castellanos,592206,R
 Harold Castro,605612,L
 Rodolfo Castro,666801,L
 Willi Castro,650489,L
 Jake Cave,595909,L
 Yu Chang,644374,R
 Matt Chapman,656305,R
 Michael Chavis,656308,R
 Jazz Chisholm Jr.,665862,L
 Ji Man Choi,596847,L
 Kody Clemens,665019,L
 Oscar Colas,693049,L
 Michael Conforto,624424,L
 William Contreras,661388,R
 Willson Contreras,575929,R
 Garrett Cooper,643265,R
 Franchy Cordero,614173,L
 Carlos Correa,621043,R
 Colton Cowser,681297,L
 Brandon Crawford,543063,L
 J.P. Crawford,641487,L
 C.J. Cron,543068,R
 Jake Cronenworth,630105,L
 Nelson Cruz,443558,R
 Henry Davis,680779,R
 J.D. Davis,605204,R
 Jonathan Davis,641505,R
 Yonathan Daza,602074,R
 Bryan De La Cruz,650559,R
 Elly De La Cruz,682829,L
 Paul DeJong,657557,R
 Jason Delay,641511,R
 Jonny Deluca,676356,R
 Rafael Devers,646240,L
 Jordan Diaz,672478,R
 Yainer Diaz,673237,R
 Corey Dickerson,572816,L
 Brandon Dixon,641525,R
 Josh Donaldson,518626,R
 Brendan Donovan,680977,L
 Brenton Doyle,686668,R
 Hunter Dozier,641531,R
 Brandon Drury,592273,R
 Mauricio Dubon,643289,R
 Matt Duffy,622110,R
 Ezequiel Duran,677649,R
 Jarren Duran,680776,L
 Adam Duvall,594807,R
 Aledmys Diaz,649557,R
 Elias Diaz,553869,R
 Yandy Diaz,650490,R
 Nate Eaton,681987,R
 Tommy Edman,669242,L
 Christian Encarnacion-Strand,687952,R
 Eduardo Escobar,500871,L
 Santiago Espinal,669289,R
 Thairo Estrada,642731,R
 Stuart Fairchild,656413,R
 Kyle Farmer,571657,R
 Freddy Fermin,666023,R
 David Fletcher,664058,R
 Dominic Fletcher,666150,L
 Wilmer Flores,527038,R
 Mike Ford,645801,L
 Nick Fortes,663743,R
 Jake Fraley,641584,L
 Ty France,664034,R
 Wander Franco,677551,L
 Adam Frazier,624428,L
 Clint Frazier,640449,R
 Freddie Freeman,518692,L
 Tyler Freeman,671289,R
 Sal Frelick,686217,L
 TJ Friedl,670770,L
 David Fry,681807,R
 Cam Gallagher,595956,R
 Joey Gallo,608336,L
 Maikel Garcia,672580,R
 Adolis Garcia,666969,R
 Avisail Garcia,541645,R
 Luis Garcia,671277,L
 Stone Garrett,656448,R
 Mitch Garver,641598,R
 Zack Gelof,680869,R
 Andres Gimenez,665926,L
 Paul Goldschmidt,502671,R
 Yan Gomes,543228,R
 Nick Gonzales,693304,R
 Oscar Gonzalez,660757,R
 Romy Gonzalez,663853,R
 Nick Gordon,624503,L
 Nolan Gorman,669357,L
 Yasmani Grandal,518735,L
 Riley Greene,682985,L
 Randal Grichuk,545341,R
 Trent Grisham,663757,L
 Vaughn Grissom,687093,R
 Robbie Grossman,543257,L
 Vladimir Guerrero Jr.,665489,R
 Luis Guillorme,641645,L
 Lourdes Gurriel Jr.,666971,R
 Yuli Gurriel,493329,R
 Eric Haase,606992,R
 Garrett Hampson,641658,R
 Mitch Haniger,571745,R
 Ian Happ,664023,L
 Bryce Harper,547180,L
 Michael Harris II,671739,L
 Josh Harrison,543281,R
 Adam Haseley,656514,L
 Ke'Bryan Hayes,663647,R
 Austin Hays,669720,R
 Austin Hedges,595978,R
 Jonah Heim,641680,L
 Gunnar Henderson,683002,L
 David Hensley,682073,R
 Enrique Hernandez,571771,R
 Teoscar Hernandez,606192,R
 Jason Heyward,518792,L
 Aaron Hicks,543305,L
 Kyle Higashioka,543309,R
 Derek Hill,656537,R
 Nico Hoerner,663538,R
 TJ Hopkins,686759,R
 Eric Hosmer,543333,L
 Andy Ibanez,628451,R
 Jonathan India,663697,R
 Kyle Isbel,664728,L
 Travis Jankowski,608671,L
 Danny Jansen,643376,R
 Ryan Jeffers,680777,R
 Eloy Jimenez,650391,R
 Connor Joe,656582,R
 Nolan Jones,666134,L
 Aaron Judge,592450,R
 Edouard Julien,666397,L
 Corey Julks,667452,R
 Josh Jung,673962,R
 Jarred Kelenic,672284,L
 Carson Kelly,608348,R
 Tony Kemp,643393,L
 Max Kepler,596146,L
 Grae Kessinger,666197,R
 Kevin Kiermaier,595281,L
 Ha-Seong Kim,673490,R
 Isiah Kiner-Falefa,643396,R
 Alex Kirilloff,666135,L
 Alejandro Kirk,672386,R
 Andrew Knizner,668800,R
 Steven Kwan,680757,L
 Shea Langeliers,669127,R
 Trevor Larnach,663616,L
 Ramon Laureano,657656,R
 DJ LeMahieu,518934,R
 Royce Lewis,668904,R
 Francisco Lindor,596019,L
 Evan Longoria,446334,R
 Nicky Lopez,670032,L
 Brandon Lowe,664040,L
 Josh Lowe,666139,L
 Nathaniel Lowe,663993,L
 Manny Machado,592518,R
 Nick Madrigal,663611,R
 Luke Maile,571912,R
 Martin Maldonado,455117,R
 Trey Mancini,641820,R
 Tucupita Marcano,672779,L
 Manuel Margot,622534,R
 Jake Marisnick,545350,R
 Brandon Marsh,669016,L
 Ketel Marte,606466,L
 Starling Marte,516782,R
 J.D. Martinez,502110,R
 Michael Massey,686681,L
 Miles Mastrobuoni,670156,L
 Jorge Mateo,622761,R
 Mark Mathias,664029,R
 Nick Maton,665155,L
 Luis Matos,682641,R
 James McCann,543510,R
 Jake McCarthy,664983,L
 Chas McCormick,676801,R
 Andrew McCutchen,457705,R
 Reese McGuire,624512,L
 Ryan McKenna,663630,R
 Billy McKinney,641856,L
 Zach McKinstry,656716,L
 Matt McLain,680574,R
 Ryan McMahon,641857,L
 Jeff McNeil,643446,L
 Francisco Mejia,642336,L
 MJ Melendez,669004,L
 Danny Mendick,664901,R
 Joey Meneses,608841,R
 Whit Merrifield,593160,R
 Jake Meyers,676694,R
 Brad Miller,543543,L
 Owen Miller,680911,R
 Jose Miranda,669304,R
 Garrett Mitchell,669003,L
 Andruw Monasterio,655316,R
 Yoan Moncada,660162,L
 Mickey Moniak,666160,L
 Elehuris Montero,660707,R
 Dylan Moore,664238,R
 Christopher Morel,666624,R
 Gabriel Moreno,672515,R
 Ryan Mountcastle,663624,R
 Mike Moustakas,519058,L
 Cedric Mullins,656775,L
 Max Muncy,571970,L
 Sean Murphy,669221,R
 Tom Murphy,608596,R
 Dane Myers,667472,R
 Wil Myers,571976,R
 Bo Naylor,666310,L
 Josh Naylor,647304,L
 Zach Neto,687263,R
 Tyler Nevin,663527,R
 Kevin Newman,621028,R
 Tomas Nido,621512,R
 Brandon Nimmo,607043,L
 Ryan Noda,676116,L
 Austin Nola,543592,R
 Lars Nootbaar,663457,L
 Ryan O'Hearn,656811,L
 Logan O'Hoppe,681351,R
 Tyler O'Neill,641933,R
 Rougned Odor,596059,L
 Shohei Ohtani,660271,L
 Edward Olivares,658668,R
 Matt Olson,621566,L
 Rafael Ortega,542364,L
 James Outman,681546,L
 Marcell Ozuna,542303,R
 Joshua Palacios,641943,L
 Isaac Paredes,670623,R
 Vinnie Pasquantino,686469,L
 Joc Pederson,592626,L
 Liover Peguero,678894,R
 David Peralta,444482,L
 Oswald Peraza,672724,R
 Geraldo Perdomo,672695,L
 Salvador Perez,521692,R
 Blake Perkins,663368,L
 Jace Peterson,607054,L
 Jeremy Pena,665161,R
 Tommy Pham,502054,R
 Kevin Pillar,607680,R
 Jorge Polanco,593871,L
 AJ Pollock,572041,R
 Nick Pratto,668472,L
 Jurickson Profar,595777,L
 Carlos Perez,542208,R
 Cal Raleigh,663728,L
 Luke Raley,670042,L
 Harold Ramirez,623912,R
 Jose Ramirez,608070,L
 J.T. Realmuto,592663,R
 Rob Refsnyder,608701,R
 Zach Remillard,621545,R
 Anthony Rendon,543685,R
 Hunter Renfroe,592669,R
 Luis Rengifo,650859,L
 Franmil Reyes,614177,R
 Pablo Reyes,622569,R
 Bryan Reynolds,668804,L
 Austin Riley,663586,R
 Emmanuel Rivera,656896,R
 Anthony Rizzo,519203,L
 Luis Robert Jr.,673357,R
 Victor Robles,645302,R
 Brayan Rocchio,677587,L
 Brendan Rodgers,663898,R
 Julio Rodriguez,677594,R
 Jake Rogers,668670,R
 Johan Rojas,679032,R
 Josh Rojas,668942,L
 Miguel Rojas,500743,R
 Brent Rooker,667670,R
 Amed Rosario,642708,R
 Eddie Rosario,592696,L
 Esteury Ruiz,665923,R
 Keibert Ruiz,660688,L
 Adley Rutschman,668939,L
 Blake Sabol,666165,L
 Carlos Santana,467793,L
 Anthony Santander,623993,L
 Casey Schmitt,669477,R
 Jonathan Schoop,570731,R
 Kyle Schwarber,656941,L
 Corey Seager,608369,L
 Jean Segura,516416,R
 Marcus Semien,543760,R
 Nick Senzel,669222,R
 Gavin Sheets,657757,L
 Zack Short,670097,R
 Jon Singleton,572138,L
 Jose Siri,642350,R
 Austin Slater,596103,R
 Dominic Smith,642086,L
 Josh H. Smith,669701,L
 Kevin Smith,675656,R
 Pavin Smith,656976,L
 Will Smith,669257,R
 Tyler Soderstrom,691016,L
 Donovan Solano,456781,R
 Jorge Soler,624585,R
 Edmundo Sosa,624641,R
 Lenyn Sosa,672820,R
 Juan Soto,665742,L
 George Springer,543807,R
 Jacob Stallings,607732,R
 Giancarlo Stanton,519317,R
 Spencer Steer,668715,R
 Tyler Stephenson,663886,R
 DJ Stewart,621466,L
 Trevor Story,596115,R
 Bryson Stott,681082,L
 Myles Straw,664702,R
 Garrett Stubbs,596117,L
 Jack Suwinski,669261,L
 Seiya Suzuki,673548,R
 Eugenio Suarez,553993,R
 Dansby Swanson,621020,R
 Gary Sanchez,596142,R
 Jesus Sanchez,660821,L
 Raimel Tapia,606132,L
 Fernando Tatis Jr.,665487,R
 Mike Tauchman,643565,L
 Leody Taveras,665750,L
 Chris Taylor,621035,R
 Michael A. Taylor,572191,R
 Samad Taylor,669392,R
 Tyrone Taylor,621438,R
 Rowdy Tellez,642133,L
 Matt Thaiss,642136,L
 Alek Thomas,677950,L
 Lane Thomas,657041,R
 Bubba Thompson,669352,R
 Trayce Thompson,572204,R
 Michael Toglia,669911,L
 Spencer Torkelson,679529,R
 Gleyber Torres,650402,R
 Ezequiel Tovar,678662,R
 Alan Trejo,676701,R
 Jose Trevino,624431,R
 Jared Triolo,669707,R
 Mike Trout,545361,R
 Kyle Tucker,663656,L
 Brice Turang,668930,L
 Justin Turner,457759,R
 Trea Turner,607208,R
 Gio Urshela,570482,R
 Luis Urias,649966,R
 Ramon Urias,602104,R
 Enmanuel Valdez,665839,L
 Ildemaro Vargas,545121,L
 Miguel Vargas,678246,R
 Daulton Varsho,662139,L
 Andrew Vaughn,683734,R
 Terrin Vavra,679631,L
 Nelson Velazquez,676369,R
 Alex Verdugo,657077,L
 Mark Vientos,668901,R
 Matt Vierling,663837,R
 David Villar,681584,R
 Daniel Vogelbach,596129,L
 Anthony Volpe,683011,R
 Joey Votto,458015,L
 Christian Vazquez,543877,R
 LaMonte Wade Jr.,664774,L
 Tyler Wade,642180,L
 Christian Walker,572233,R
 Jordan Walker,691023,R
 Chad Wallach,595453,R
 Matt Wallner,670242,L
 Taylor Walls,670764,L
 Taylor Ward,621493,R
 Drew Waters,671221,L
 Joey Wendle,621563,L
 Jordan Westburg,676059,R
 Joey Wiemer,686894,R
 Alika Williams,675961,R
 Patrick Wisdom,621550,R
 Brett Wisely,689172,L
 Bobby Witt Jr.,677951,R
 Connor Wong,657136,R
 Kolten Wong,543939,L
 Austin Wynns,642851,R
 Mike Yastrzemski,573262,L
 Christian Yelich,592885,L
 Masataka Yoshida,807799,L
 Seby Zavala,664874,R
 Mike Zunino,572287,R
 Travis d'Arnaud,518595,R
