player_id,first_name,last_name,xera,xera_avg,xera_2023,z_scores_xera_avg,z_score_xera_2023,zscore_difference
669060, Bryse,Wilson,5.116666666666667,5.116666666666667,4.2,1.0407312519371261,-0.2907741132215637,-1.33150536515869
579328, Yusei,Kikuchi,5.1225000000000005,5.1225000000000005,4.26,1.048042031537082,-0.22819718785106965,-1.2762392193881515
608379, Michael,Wacha,5.01,5.01,4.2,0.9070484249665064,-0.2907741132215637,-1.19782253818807
663567, Peter,Lambert,5.515000000000001,5.515000000000001,4.95,1.5399530589055317,0.49143745390961696,-1.0485156049959148
666205, Kyle,Muller,8.24,8.24,8.24,4.955131529170563,3.922738861725063,-1.0323926674455
592767, Drew,Smyly,4.8475,4.8475,4.17,0.7033909932534544,-0.3220625759068112,-1.0254535691602658
663738, Daniel,Lynch IV,5.419999999999999,5.419999999999999,4.88,1.4208917911348222,0.41843104097737316,-1.0024607501574492
682847, Luis L.,Ortiz,7.84,7.84,7.84,4.4538209280307415,3.5055593592550998,-0.9482615687756417
650633, Michael,King,4.015,4.015,3.27,-0.33996169536879894,-1.260716456464228,-0.920754761095429
656605, Mitch,Keller,4.636666666666667,4.636666666666667,4.03,0.4391585305693403,-0.4680754017712979,-0.9072339323406382
621381, Matt,Strahm,3.93,3.93,3.2,-0.4464901981110103,-1.3337228693964713,-0.887232671285461
596001, Jakob,Junis,4.45,4.45,3.84,0.20521358337075724,-0.6662356654445307,-0.871449248815288
642545, Jaime,Barria,5.0425,5.0425,4.56,0.9477799113091177,0.08468743900140244,-0.8630924723077152
608718, Brent,Suter,3.3166666666666664,3.3166666666666664,2.5,-1.21516645319207,-2.0637869987189066,-0.8486205455268365
641927, Bailey,Ober,4.336666666666667,4.336666666666667,3.76,0.06317557971447461,-0.7496715659385235,-0.8128471456529981
543135, Nathan,Eovaldi,4.0525,4.0525,3.49,-0.29296382651194003,-1.031267730105748,-0.7383039035938079
670174, Josh,Winckowski,4.34,4.34,3.84,0.067353168057306,-0.6662356654445307,-0.7335888335018367
641154, Pablo,López,3.7175000000000002,3.7175000000000002,3.1,-0.7128114549665402,-1.4380177450139622,-0.725206290047422
608717, Chris,Stratton,4.045,4.045,3.52,-0.30236340028331204,-0.999979267420501,-0.697615867137189
676710, Kutter,Crawford,4.11,4.11,3.6,-0.2209004275980906,-0.9165433669265084,-0.6956429393284178
601713, Nick,Pivetta,4.5075,4.5075,4.09,0.2772769822846067,-0.4054984764008039,-0.6827754586854106
669461, Matthew,Liberatore,6.5,6.5,6.5,2.7744304142123406,2.1080080259807237,-0.6664223882316169
669438, Mason,Englert,6.42,6.42,6.42,2.6741682939843763,2.024572125486731,-0.6495961684976455
621107, Zach,Eflin,3.5725,3.5725,3.04,-0.894536547879726,-1.5005946703844566,-0.6060581225047306
543294, Kyle,Hendricks,4.484999999999999,4.484999999999999,4.14,0.24907826097049066,-0.3533510385920587,-0.6024292995625493
677960, Ryan,Weathers,5.105,5.105,4.91,1.0261096927372146,0.44971950366262065,-0.5763901890745939
571927, Steven,Matz,4.21,4.21,3.84,-0.09557277731313575,-0.6662356654445307,-0.570662888131395
605397, Joe,Musgrove,3.615,3.615,3.13,-0.8412722965086195,-1.4067292823287152,-0.5654569858200957
643511, Tyler,Rogers,2.78,2.78,2.13,-1.8877581763879967,-2.4496780385036225,-0.5619198621156258
605200, Zach,Davies,5.3025,5.3025,5.18,1.2736318020500013,0.7313156678298453,-0.542316134220156
666214, Joey,Wentz,5.64,5.64,5.64,1.6966126217617246,1.2110720956703027,-0.48554052609142184
669713, Hayden,Wesneski,5.61,5.61,5.61,1.6590143266762387,1.1797836329850562,-0.47923069369118254
669302, Logan,Gilbert,3.94,3.94,3.62,-0.43395743308251505,-0.8956843918030102,-0.46172695872049513
665152, Dean,Kremer,5.46,5.46,5.46,1.4710228512488055,1.0233413195588197,-0.4476815316899858
641540, Dane,Dunning,4.533333333333333,4.533333333333333,4.35,0.30965329194155294,-0.1343317997953281,-0.44398509173688105
656288, Griffin,Canning,4.263333333333334,4.263333333333334,4.03,-0.028731363827825828,-0.4680754017712979,-0.4393440379434721
657756, Connor,Seabold,5.39,5.39,5.39,1.3832934960493364,0.9503349066265758,-0.43295858942276055
656232, Brandon,Bielak,5.36,5.36,5.36,1.3456952009638505,0.9190464439413293,-0.42664875702252125
680694, Kyle,Bradish,4.275,4.275,4.06,-0.014109804627914318,-0.4367869390860514,-0.42267713445813704
666745, Jhony,Brito,5.29,5.29,5.29,1.2579658457643814,0.8460400310090854,-0.411925814755296
518876, Merrill,Kelly,4.4325,4.4325,4.26,0.18328124457088996,-0.22819718785106965,-0.4114784324219596
669022, MacKenzie,Gore,5.195,5.195,5.18,1.1389045779936744,0.7313156678298453,-0.40758891016382914
675627, Michael,Grove,5.22,5.22,5.22,1.1702364905649125,0.7730336180768416,-0.39720287248807096
527054, Julio,Teheran,4.645,4.645,4.53,0.4496025014264193,0.05339897631615587,-0.3962035251102634
669194, Ryne,Nelson,5.18,5.18,5.18,1.1201054304509304,0.7313156678298453,-0.3887897626210851
682227, Brandon,Williamson,5.15,5.15,5.15,1.0825071353654445,0.7000272051445987,-0.3824799302208458
675540, Xzavion,Curry,5.15,5.15,5.15,1.0825071353654445,0.7000272051445987,-0.3824799302208458
666200, Jesús,Luzardo,4.236666666666666,4.236666666666666,4.06,-0.062152070570481346,-0.4367869390860514,-0.37463486851557004
694297, Brandon,Pfaadt,5.11,5.11,5.11,1.0323760752514624,0.6583092548976024,-0.37406682035385996
686973, Louie,Varland,5.11,5.11,5.11,1.0323760752514624,0.6583092548976024,-0.37406682035385996
663623, Jake,Irvin,5.08,5.08,5.08,0.9947777801659754,0.6270207922123548,-0.36775698795362055
594902, Ben,Lively,5.01,5.01,5.01,0.9070484249665064,0.554014379280111,-0.3530340456863954
663687, Hogan,Harris,5.01,5.01,5.01,0.9070484249665064,0.554014379280111,-0.3530340456863954
657508, Mike,Baumann,4.98,4.98,4.98,0.8694501298810206,0.5227259165948644,-0.3467242132861561
656849, David,Peterson,4.95,4.95,4.95,0.8318518347955337,0.49143745390961696,-0.34041438088591675
650644, Aaron,Civale,3.905,3.905,3.7,-0.4778221106822496,-0.8122484913090176,-0.33442638062676794
502624, Chase,Anderson,5.076666666666667,5.076666666666667,5.11,0.9906001918231441,0.6583092548976024,-0.3322909369255417
680570, Grayson,Rodriguez,4.91,4.91,4.91,0.7817207746815515,0.44971950366262065,-0.3320012710189309
593958, Eduardo,Rodriguez,3.7275,3.7275,3.49,-0.700278689938045,-1.031267730105748,-0.33098904016770303
686610, Ken,Waldichuk,4.85,4.85,4.85,0.7065241845105777,0.38714257829212567,-0.3193816062184521
681857, Reese,Olson,4.78,4.78,4.78,0.6187948293111097,0.31413616535988276,-0.304658663951227
660261, Shintaro,Fujinami,4.75,4.75,4.75,0.5811965342256229,0.28284770267463527,-0.2983488315509876
656234, Jake,Bird,4.69,4.69,4.69,0.5059999440546502,0.22027077730414124,-0.28572916675050897
668881, Hunter,Greene,3.85,3.85,3.7,-0.5467523183389746,-0.8122484913090176,-0.2654961729700429
657006, Justin,Steele,3.723333333333333,3.723333333333333,3.55,-0.705500675366585,-0.968690804735254,-0.26319012936866903
543475, Jordan,Lyles,4.8875,4.8875,4.95,0.7535220533674366,0.49143745390961696,-0.26208459945781964
665871, Javier,Assad,4.53,4.53,4.53,0.30547570359872156,0.05339897631615587,-0.2520767272825657
621112, Paul,Blackburn,4.045,4.045,3.95,-0.30236340028331204,-0.5515113022652905,-0.2491479019819785
665622, Luis,Medina,4.5,4.5,4.5,0.26787740851323466,0.022110513630908386,-0.24576689488232628
671106, Logan,Allen,4.47,4.47,4.47,0.23027911342774776,-0.009177949054339102,-0.23945706248208687
572020, James,Paxton,3.505,3.505,3.32,-0.9791327118220706,-1.2085690186554827,-0.2294363068334121
592332, Kevin,Gausman,3.8449999999999998,3.8449999999999998,3.73,-0.5530187008532228,-0.7809600286237705,-0.22794132777054765
607067, Colin,Rea,4.41,4.41,4.41,0.15508252325677507,-0.07175487442483315,-0.2268373976816082
671737, Taj,Bradley,4.38,4.38,4.38,0.11748422817128816,-0.10304333711008064,-0.2205275652813688
670912, Johan,Oviedo,4.5,4.5,4.53,0.26787740851323466,0.05339897631615587,-0.2144784321970788
571656, Buck,Farmer,4.29,4.29,4.29,0.004689342914828576,-0.19690872516582217,-0.20159806808065076
674072, Tommy,Henry,4.29,4.29,4.29,0.004689342914828576,-0.19690872516582217,-0.20159806808065076
682243, Bryce,Miller,4.26,4.26,4.26,-0.032908952170658326,-0.22819718785106965,-0.19528823568041132
641585, J.P.,France,4.23,4.23,4.23,-0.07050724725614411,-0.2594856505363162,-0.18897840328017212
657746, Joe,Ryan,3.42,3.42,3.27,-1.0856612145642826,-1.260716456464228,-0.17505524189994537
676664, JP,Sears,4.575,4.575,4.66,0.3618731462269513,0.18898231461889375,-0.17289083160805757
502043, Kyle,Gibson,4.4399999999999995,4.4399999999999995,4.5,0.19268081834226086,0.022110513630908386,-0.17057030471135248
663559, Bailey,Falter,4.765000000000001,4.765000000000001,4.91,0.5999956817683669,0.44971950366262065,-0.15027617810574628
665795, Edward,Cabrera,4.055,4.055,4.06,-0.2898306352548168,-0.4367869390860514,-0.1469563038312346
641482, Nestor,Cortes,3.735,3.735,3.68,-0.6908791161666735,-0.8331074664325157,-0.14222835026584213
686613, Hunter,Brown,4.0,4.0,4.0,-0.3587608429115418,-0.4993638644565454,-0.1406030215450036
628317, Kenta,Maeda,3.4433333333333334,3.4433333333333334,3.34,-1.0564180961644596,-1.1877100435319845,-0.13129194736752492
691587, Eury,Pérez,3.92,3.92,3.92,-0.45902296313950613,-0.5827997649505381,-0.12377680181103196
650911, Cristopher,Sánchez,3.92,3.92,3.92,-0.45902296313950613,-0.5827997649505381,-0.12377680181103196
669947, Jesse,Scholtens,3.89,3.89,3.89,-0.4966212582249925,-0.6140882276357851,-0.1174669694107926
664139, Ian,Gibaut,3.89,3.89,3.89,-0.4966212582249925,-0.6140882276357851,-0.1174669694107926
693821, Bryce,Elder,4.345000000000001,4.345000000000001,4.44,0.07361955057155474,-0.040466411739585664,-0.1140859623111404
573186, Marcus,Stroman,3.9975,3.9975,4.03,-0.3618940341686656,-0.4680754017712979,-0.1061813676026323
676272, Bobby,Miller,3.78,3.78,3.78,-0.6344816735384438,-0.7288125908150253,-0.0943309172765815
673540, Kodai,Senga,3.78,3.78,3.78,-0.6344816735384438,-0.7288125908150253,-0.0943309172765815
592836, Taijuan,Walker,4.326666666666667,4.326666666666667,4.44,0.05064281468597936,-0.040466411739585664,-0.09110922642556502
621076, James,Kaprielian,4.640000000000001,4.640000000000001,4.82,0.4433361189121728,0.35585411560687913,-0.08748200330529365
621244, José,Berríos,4.4725,4.4725,4.63,0.23341230468487212,0.15769385193364627,-0.07571845275122585
623211, Huascar,Brazoban,3.68,3.68,3.68,-0.7598093238233986,-0.8331074664325157,-0.07329814260911705
543859, Michael,Tonkin,3.65,3.65,3.65,-0.7974076189088855,-0.8643959291177632,-0.06698831020887774
592351, Jon,Gray,4.1325,4.1325,4.23,-0.1927017062839757,-0.2594856505363162,-0.06678394425234052
680686, Josiah,Gray,4.463333333333334,4.463333333333334,4.63,0.221923936742085,0.15769385193364627,-0.06423008480843873
607536, Kyle,Freeland,5.1475,5.1475,5.46,1.07937394410832,1.0233413195588197,-0.05603262454950042
663941, Tristan,Beck,3.57,3.57,3.57,-0.8976697391368498,-0.9478318296117558,-0.05016209047490605
506433, Yu,Darvish,3.5675,3.5675,3.57,-0.9008029303939736,-0.9478318296117558,-0.047028899217782194
676596, Josh,Fleming,4.955,4.955,5.25,0.8381182173097813,0.8043220807620891,-0.0337961365476922
676440, Tanner,Bibee,3.49,3.49,3.49,-0.9979318593648135,-1.031267730105748,-0.03333587074093447
571510, Matthew,Boyd,4.05,4.05,4.17,-0.2960970177690644,-0.3220625759068112,-0.025965558137746814
671096, Andrew,Abbott,3.44,3.44,3.44,-1.0605956845072915,-1.0834151679144937,-0.02281948340720219
656756, Jordan,Montgomery,4.096666666666667,4.096666666666667,4.23,-0.23761078096941834,-0.2594856505363162,-0.02187486956689788
593334, Domingo,Germán,4.1425,4.1425,4.29,-0.18016894125548044,-0.19690872516582217,-0.016739783910341727
519242, Chris,Sale,3.54,3.54,3.57,-0.9352680342223362,-0.9478318296117558,-0.012563795389419652
693433, Bryan,Woo,3.37,3.37,3.37,-1.1483250397067601,-1.156421580846737,-0.008096541139976932
663947, Tyler,Holton,3.34,3.34,3.34,-1.1859233347922469,-1.1877100435319845,-0.0017867087397376302
687330, Kevin,Kelly,3.32,3.32,3.32,-1.210988864849238,-1.2085690186554827,0.0024198461937552374
605288, Adrian,Houser,4.2325,4.2325,4.44,-0.06737405599902085,-0.040466411739585664,0.02690764425943519
666974, Yennier,Cano,3.2,3.2,3.2,-1.361382045191184,-1.3337228693964713,0.027659175794712665
660813, Brusdar,Graterol,3.2,3.2,3.2,-1.361382045191184,-1.3337228693964713,0.027659175794712665
605483, Blake,Snell,3.7225,3.7225,3.84,-0.7065450724522926,-0.6662356654445307,0.040309407007761866
664285, Framber,Valdez,3.9525,3.9525,4.12,-0.41829147679689543,-0.3742100137155564,0.044081463081339034
640455, Sean,Manaea,4.203333333333333,4.203333333333333,4.44,-0.10392795399879963,-0.040466411739585664,0.06346154225921397
666619, Gregory,Santos,3.01,3.01,3.01,-1.5995045807325996,-1.5318831330697043,0.06762144766289535
678394, Brayan,Bello,4.0,4.0,4.2,-0.3587608429115418,-0.2907741132215637,0.0679867296899781
554430, Zack,Wheeler,3.2625,3.2625,3.32,-1.283052263763087,-1.2085690186554827,0.07448324510760429
669330, Tyler,Wells,4.015000000000001,4.015000000000001,4.23,-0.33996169536879783,-0.2594856505363162,0.08047604483248161
666159, Matt,Manning,4.920000000000001,4.920000000000001,5.32,0.7942535397100479,0.8773284936943329,0.083074953984285
672282, Reid,Detmers,4.34,4.34,4.63,0.067353168057306,0.15769385193364627,0.09034068387634027
666129, Braxton,Garrett,4.34,4.34,4.63,0.067353168057306,0.15769385193364627,0.09034068387634027
657277, Logan,Webb,3.44,3.44,3.55,-1.0605956845072915,-0.968690804735254,0.09190487977203743
571945, Miles,Mikolas,4.543333333333334,4.543333333333334,4.88,0.3221860569700493,0.41843104097737316,0.09624498400732384
656427, Jack,Flaherty,4.276666666666666,4.276666666666666,4.56,-0.012021010456499183,0.08468743900140244,0.09670844945790162
664875, Justin,Lawrence,2.79,2.79,2.79,-1.8752254113595008,-1.7613318594281835,0.11389355193131734
663556, Shane,McClanahan,3.796666666666667,3.796666666666667,4.0,-0.613593731824284,-0.4993638644565454,0.1142298673677386
668678, Zac,Gallen,3.6574999999999998,3.6574999999999998,3.84,-0.788008045137514,-0.6662356654445307,0.12177237969298327
663903, Brady,Singer,4.430000000000001,4.430000000000001,4.78,0.1801480533137667,0.31413616535988276,0.13398811204611605
594835, Marco,Gonzales,4.762499999999999,4.762499999999999,5.18,0.5968624905112414,0.7313156678298453,0.13445317731860384
607259, Nick,Martinez,4.12,4.12,4.41,-0.20836766256959532,-0.07175487442483315,0.1366127881447622
669923, George,Kirby,3.48,3.48,3.65,-1.0104646243933093,-0.8643959291177632,0.1460686952755461
672710, Roansy,Contreras,4.895,4.895,5.36,0.7629216271388075,0.9190464439413293,0.15612481680252177
622491, Luis,Castillo,3.5,3.5,3.7,-0.9853990943363183,-0.8122484913090176,0.1731506030273008
642232, Ryan,Yarbrough,4.2925,4.2925,4.66,0.007822534171952947,0.18898231461889375,0.1811597804469408
489119, Wade,Miley,4.306666666666667,4.306666666666667,4.69,0.02557728462898772,0.22027077730414124,0.1946934926751535
656557, Tanner,Houck,3.66,3.66,3.92,-0.7848748538803897,-0.5827997649505381,0.2020750889298516
543243, Sonny,Gray,3.58,3.58,3.84,-0.885136974108354,-0.6662356654445307,0.2189013086638233
656302, Dylan,Cease,3.7675,3.7675,4.09,-0.6501476298240628,-0.4054984764008039,0.24464915342325894
605400, Aaron,Nola,3.5325,3.5325,3.81,-0.9446676079937076,-0.6975241281297778,0.24714347986392982
645261, Sandy,Alcantara,3.7649999999999997,3.7649999999999997,4.09,-0.6532808210811871,-0.4054984764008039,0.24778234468038324
657376, Clarke,Schmidt,3.87,3.87,4.23,-0.5216867882819836,-0.2594856505363162,0.26220113774566733
642547, Freddy,Peralta,3.2350000000000003,3.2350000000000003,3.47,-1.3175173675914493,-1.0521267052292462,0.2653906623622031
547179, Michael,Lorenzen,3.7266666666666666,3.7266666666666666,4.09,-0.7013230870237531,-0.4054984764008039,0.29582461062294924
668933, Graham,Ashcraft,4.55,4.55,5.08,0.3305412336557121,0.6270207922123548,0.29647955855664276
663776, Patrick,Sandoval,3.9466666666666668,3.9466666666666668,4.38,-0.4256022563968512,-0.10304333711008064,0.32255891928677055
605182, Mike,Clevinger,4.116666666666666,4.116666666666666,4.59,-0.21254525091242785,0.11597590168664992,0.32852115259907777
477132, Clayton,Kershaw,3.1975,3.1975,3.49,-1.3645152364483084,-1.031267730105748,0.3332475063425604
571578, Patrick,Corbin,5.6274999999999995,5.6274999999999995,6.42,1.680946665476105,2.024572125486731,0.3436254600106259
571760, Andrew,Heaney,4.2125,4.2125,4.72,-0.09243958605601138,0.2515592399893878,0.34399882604539916
630023, Yonny,Chirinos,5.285,5.285,6.1,1.251699463250134,1.69082852351076,0.43912906026062615
622072, Alex,Wood,4.266666666666667,4.266666666666667,4.91,-0.024553775484994444,0.44971950366262065,0.4742732791476151
675911, Spencer,Strider,2.7350000000000003,2.7350000000000003,3.08,-1.944155619016226,-1.4588767201374604,0.4852788988787655
453286, Max,Scherzer,2.9725,2.9725,3.37,-1.6465024495894574,-1.156421580846737,0.4900808687427203
434378, Justin,Verlander,2.8800000000000003,2.8800000000000003,3.32,-1.7624305261030406,-1.2085690186554827,0.5538615074475579
527048, Martín,Pérez,4.6850000000000005,4.6850000000000005,5.5,0.49973356154040255,1.065059269805816,0.5653257082654133
543037, Gerrit,Cole,3.115,3.115,3.62,-1.4679105479333958,-0.8956843918030102,0.5722261561303856
592866, Trevor,Williams,4.737500000000001,4.737500000000001,5.57,0.5655305779400044,1.1380656827380597,0.5725351047980554
605135, Chris,Bassitt,3.8449999999999998,3.8449999999999998,4.5,-0.5530187008532228,0.022110513630908386,0.5751292144841312
596295, Austin,Gomber,4.73,4.73,5.57,0.5561310041686324,1.1380656827380597,0.5819346785694274
592791, Jameson,Taillon,4.4366666666666665,4.4366666666666665,5.22,0.18850322999942948,0.7730336180768416,0.5845303880774121
448179, Rich,Hill,4.6866666666666665,4.6866666666666665,5.53,0.5018223557118177,1.0963477324910635,0.5945253767792459
660271, Shohei,Ohtani,3.28,3.28,3.84,-1.2611199249632201,-0.6662356654445307,0.5948842595186894
596133, Luke,Weaver,4.86,4.86,5.75,0.7190569495390741,1.3257964588495428,0.6067395093104687
628711, Julio,Urías,3.2075,3.2075,3.78,-1.3519824714198125,-0.7288125908150253,0.6231698806047873
542881, Tyler,Anderson,4.03,4.03,4.78,-0.3211625478260549,0.31413616535988276,0.6352987131859377
608337, Lucas,Giolito,3.9025,3.9025,4.63,-0.4809553019393734,0.15769385193364627,0.6386491538730197
543101, Anthony,DeSclafani,4.276666666666666,4.276666666666666,5.08,-0.012021010456499183,0.6270207922123548,0.639041802668854
608344, Cole,Irvin,5.153333333333333,5.153333333333333,6.14,1.086684723708276,1.7325464737577565,0.6458617500494805
502171, Alex,Cobb,3.94,3.94,4.69,-0.43395743308251505,0.22027077730414124,0.6542282103866564
607192, Tyler,Glasnow,3.3850000000000002,3.3850000000000002,4.03,-1.1295258921640166,-0.4680754017712979,0.6614504903927186
624133, Ranger,Suárez,3.725,3.725,4.44,-0.7034118811951687,-0.040466411739585664,0.6629454694555831
425844, Zack,Greinke,4.495,4.495,5.39,0.261611025998987,0.9503349066265758,0.6887238806275888
548389, Ross,Stripling,4.295,4.295,5.15,0.010955725429076206,0.7000272051445987,0.6890714797155225
664299, Cristian,Javier,3.896666666666667,3.896666666666667,4.69,-0.4882660815393286,0.22027077730414124,0.7085368588434698
669203, Corbin,Burnes,2.813333333333333,2.813333333333333,3.39,-1.8459822929596783,-1.1355626057232389,0.7104196872364394
661403, Emmanuel,Clase,2.34,2.34,2.88,-2.4391998376418,-1.667466471372442,0.7717333662693577
669456, Shane,Bieber,3.9875,3.9875,4.91,-0.3744267991971615,0.44971950366262065,0.8241463028597822
450203, Charlie,Morton,3.9,3.9,4.91,-0.4840884931964972,0.44971950366262065,0.9338079968591179
664062, Tony,Gonsolin,4.205,4.205,5.29,-0.10183915982738338,0.8460400310090854,0.9478791908364688
656731, Tylor,Megill,5.109999999999999,5.109999999999999,6.38,1.0323760752514612,1.9828541752397346,0.9504780999882734
607625, Seth,Lugo,3.4133333333333336,3.4133333333333336,4.35,-1.0940163912499459,-0.1343317997953281,0.9596845914546177
676477, Garrett,Whitlock,3.5366666666666666,3.5366666666666666,4.5,-0.9394456225651681,0.022110513630908386,0.9615561361960765
615698, Cal,Quantrill,4.7375,4.7375,6.06,0.5655305779400033,1.6491105732637639,1.0835799953237606
458681, Lance,Lynn,3.6425,3.6425,4.75,-0.8068071926802569,0.28284770267463527,1.0896548953548921
623167, Chris,Flexen,5.156666666666666,5.156666666666666,6.58,1.0908623120511072,2.191443926474716,1.100581614423609
471911, Carlos,Carrasco,5.0575,5.0575,6.5,0.9665790588518606,2.1080080259807237,1.141428967128863
446372, Corey,Kluber,4.736666666666667,4.736666666666667,6.18,0.5644861808542962,1.774264424004753,1.2097782431504567
592789, Noah,Syndergaard,4.636666666666667,4.636666666666667,6.1,0.4391585305693403,1.69082852351076,1.25166999294142
543521, Collin,McHugh,3.6125,3.6125,4.88,-0.8444054877657439,0.41843104097737316,1.262836528743117
656629, Michael,Kopech,4.136666666666667,4.136666666666667,5.64,-0.18747972085543618,1.2110720956703027,1.398551816525739
622663, Luis,Severino,4.845,4.845,6.75,0.7002578019963301,2.3687452150244503,1.6684874130281202
666201, Alek,Manoah,4.263333333333333,4.263333333333333,6.18,-0.028731363827826942,1.774264424004753,1.80299578783258
425794, Adam,Wainwright,5.245,5.245,7.79,1.2015684031361518,3.4534119214463543,2.251843518310203
